City_ID,City,Lat,lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,labytnangi,66.6572,66.4183,276.79,89,62,3.86,RU,1687125150
117,hepo,23.4308,115.8299,298.23,96,57,0.41,CN,1687125150
118,fortuna,40.5982,-124.1573,291.44,67,75,6.69,US,1687125151
119,aksu,41.1231,80.2644,297.93,31,93,3.02,CN,1687125151
120,kingston,17.997,-76.7936,305.68,65,20,9.26,JM,1687124927
121,alice springs,-23.7,133.8833,281.6,64,96,4.12,AU,1687125116
122,pokhara,28.2333,83.9833,296.34,79,78,1.63,NP,1687125152
123,sar-e pul,35.8333,66.1667,296.46,21,0,2.98,AF,1687125152
124,gadzhiyevo,69.2551,33.3362,279.67,88,78,2.88,RU,1687125152
125,yellowknife,62.456,-114.3525,291.44,36,75,6.17,CA,1687125152
126,nova xavantina,-14.6667,-52.35,296.3,47,10,1.79,BR,1687125153
127,chauk,20.8833,94.8167,301.11,75,90,6.19,MM,1687125153
128,auki,-8.7676,160.7034,300.59,79,95,1.29,SB,1687125153
129,wailua homesteads,22.0669,-159.378,300.85,72,20,4.12,US,1687125153
130,pelabuhanratu,-6.9875,106.5514,298.08,88,19,0.85,ID,1687125153
131,saipan,15.1355,145.701,301.84,100,40,3.13,MP,1687125154
132,basotu,-4.3667,35.0833,288.22,79,63,3.45,TZ,1687125154
133,turaif,31.6725,38.6637,296.29,40,0,4.12,SA,1687125154
134,broken hill,-31.95,141.4333,279.47,70,20,5.71,AU,1687125155
135,santa luzia,-19.7697,-43.8514,294.65,58,20,3.6,BR,1687125155
136,tapa,59.2606,25.9586,287.75,57,96,3.23,EE,1687125155
137,la passe,45.5549,-0.8967,294.28,89,71,2.01,FR,1687125155
138,cabo san lucas,22.8909,-109.9124,305.71,53,92,3.98,MX,1687124902
139,atvidaberg,58.2015,15.9977,289.03,99,100,1.71,SE,1687125156
140,aleg,17.0481,-13.9209,306.37,38,10,8.11,MR,1687125156
141,san luis de la loma,17.2706,-100.8939,306.07,59,26,3.89,MX,1687125156
142,rongelap,11.1635,166.8941,300.97,80,99,6.97,MH,1687125157
143,afaahiti,-17.75,-149.2833,302.08,68,36,6.27,PF,1687125157
144,raduzhnyy,62.0961,77.475,279.06,77,95,2.57,RU,1687125157
145,bairnsdale,-37.8333,147.6167,285.4,62,90,1.34,AU,1687125157
146,papao,-17.75,-149.55,302.97,68,40,6.09,PF,1687125158
147,usinsk,65.9939,57.5281,276.08,78,100,3.65,RU,1687125158
148,daru,-9.0763,143.2092,298.46,71,60,6.19,PG,1687125158
149,tsiroanomandidy,-18.7667,46.0333,287.48,79,0,0.65,MG,1687125158
150,olonkinbyen,70.9221,-8.7187,276.33,99,100,2.3,SJ,1687125159
151,yanchep,-31.55,115.6833,278.12,72,0,3.18,AU,1687125159
152,enewetak,11.3474,162.3373,300.94,81,94,8.11,MH,1687125159
153,san julian,21.0167,-102.1667,306.27,14,15,2.39,MX,1687125159
154,hotan,37.0997,79.9269,299.63,23,2,2.63,CN,1687125159
155,alaghsas,17.0187,8.0168,310.18,17,88,5.32,NE,1687125160
156,ta`u,-14.2336,-169.5144,300.49,79,10,4.5,AS,1687125160
157,aasiaat,68.7098,-52.8699,275.04,75,69,5.97,GL,1687125160
158,uturoa,-16.7333,-151.4333,300.32,70,71,3.46,PF,1687125160
159,camalu,30.85,-116.0667,296.22,57,11,5.54,MX,1687125161
160,talnakh,69.4865,88.3972,278.82,98,100,4.45,RU,1687125161
161,mount pearl,47.5166,-52.7813,281.89,90,75,3.09,CA,1687125018
162,qaqortoq,60.7167,-46.0333,277.62,77,16,3.18,GL,1687125162
163,east london,-33.0153,27.9116,288.07,75,3,2.8,ZA,1687125162
